Jan  Feb  Mar  Apr  May  June  July  Aug  Sept  Oct  Nov  Dec  Total_cost  Inventory_cost  Salary_cost  Firing_cost  Training_cost
133.00  133.00  98.00  93.00  93.00  90.00  90.00  90.00  90.00  90.00  81.00  81.00  2959542.20  24542.20  2826000.00  104000.00  5000.00
133.00  133.00  98.00  93.00  93.00  90.00  90.00  90.00  90.00  90.00  81.00  81.00  2959542.20  24542.20  2826000.00  104000.00  5000.00
133.00  133.00  98.00  93.00  93.00  90.00  90.00  90.00  90.00  90.00  81.00  81.00  2959542.20  24542.20  2826000.00  104000.00  5000.00
133.00  133.00  133.00  88.00  88.00  85.00  85.00  85.00  85.00  85.00  81.00  81.00  2964642.20  37142.20  2818500.00  104000.00  5000.00
133.00  133.00  133.00  133.00  78.00  76.00  76.00  76.00  81.00  81.00  81.00  81.00  2978332.20  49332.20  2805000.00  114000.00  10000.00
133.00  133.00  133.00  133.00  133.00  58.00  58.00  57.00  81.00  81.00  81.00  81.00  2999132.20  59632.20  2777500.00  152000.00  10000.00
133.00  133.00  133.00  133.00  133.00  133.00  51.00  51.00  51.00  51.00  80.00  80.00  3065652.20  82152.20  2809500.00  164000.00  10000.00
133.00  133.00  133.00  133.00  133.00  133.00  133.00  23.00  23.00  23.00  78.00  84.00  3164052.23  98552.20  2835500.00  220000.00  10000.03
133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  25.00  25.00  24.00  24.00  3304322.20  133822.20  2947500.00  218000.00  5000.00
133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  0.00  0.00  0.00  3495382.20  165382.20  3059000.00  266000.00  5000.00
133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  0.00  0.00  3858492.20  195992.20  3391500.00  266000.00  5000.00
133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  0.00  4145752.20  217252.20  3657500.00  266000.00  5000.00
133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  133.00  4156532.20  228032.20  3923500.00  0.00  5000.00
