Jan  Feb  Mar  Apr  May  June  July  Aug  Sept  Oct  Nov  Dec  
133.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
133.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
133.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  29.00  0.00
133.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
133.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
0.00  0.00  35.00  5.00  0.00  3.00  0.00  0.00  0.00  0.00  9.00  0.00
0.00  0.00  0.00  45.00  0.00  3.00  0.00  0.00  0.00  0.00  4.00  0.00
0.00  0.00  0.00  0.00  0.00  0.00  82.00  0.00  0.00  0.00  0.00  0.00
0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  133.00  0.00  0.00
0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
